DOUBLES (AABC) — HIT LOG (DATE SORTED) — QUALIFIED FAMILIES ONLY
Each row is one AABC hit in a stream. Member is boxkey4 (sorted digits). fixed_rank is 1–78 family stream rank.
Streams used: 76 (excluded: Maryland | Pick 4 Evening, Maryland | Pick 4 Midday) | Qualified families: 56
--------------------------------------------------------------------------------------------------------------------------------------------
DATE       FAM MEM  STREAM                                   FIX 60H 60/WK  90H 90/WK  180H 180/WK 
2023-02-04 345 3445 Florida - Pick 4 Midday                   42 019   2.22 028   2.18  051    1.98
2023-02-04 345 3455 New Mexico - Pick 4 Day                   70 019   2.22 028   2.18  051    1.98
2023-02-04 456 4566 Arkansas - Cash 4 Evening                 27 022   2.57 030   2.33  052    2.02
2023-02-04 456 4556 Pennsylvania - Pick 4 Day                 33 022   2.57 030   2.33  052    2.02
2023-02-04 457 4457 Indiana - Daily 4 Midday                  33 024   2.80 035   2.72  054    2.10
2023-02-04 489 4889 Western Canada - Pick 4                   77 019   2.22 029   2.26  054    2.10
2023-02-04 567 5567 Idaho - Pick 4 Day                        01 019   2.22 028   2.18  043    1.67
2023-02-04 579 5579 Puerto Rico - Pega 4 Noche                35 018   2.10 026   2.02  039    1.52
2023-02-05 013 0113 Massachusetts - Numbers Game Midday       NA 019   2.22 026   2.02  050    1.94
2023-02-05 016 0016 Iowa - Pick 4 Evening                     NA 025   2.92 031   2.41  055    2.14
2023-02-05 027 0227 Georgia - Cash 4 Evening                  NA 020   2.33 029   2.26  051    1.98
2023-02-05 028 0288 Ontario - Pick 4 Midday                   NA 017   1.98 033   2.57  054    2.10
2023-02-05 038 0338 Ohio - Pick 4 Midday                      NA 021   2.45 030   2.33  058    2.26
2023-02-05 059 0059 Connecticut - Play 4 Day                  NA 019   2.22 031   2.41  047    1.83
2023-02-05 245 2245 New Jersey - Pick 4 Midday                15 013   1.52 031   2.41  052    2.02
2023-02-05 258 2258 Massachusetts - Numbers Game Evening      11 020   2.33 032   2.49  052    2.02
2023-02-05 345 3455 Kentucky - Pick 4 Evening                 03 019   2.22 028   2.18  051    1.98
2023-02-05 348 3488 Georgia - Cash 4 Midday                   17 015   1.75 026   2.02  038    1.48
2023-02-05 378 3788 Pennsylvania - Pick 4 Day                 07 020   2.33 027   2.10  060    2.33
2023-02-05 379 3779 Florida - Pick 4 Evening                  24 019   2.22 031   2.41  053    2.06
2023-02-05 589 5889 Indiana - Daily 4 Evening                 39 014   1.63 026   2.02  054    2.10
2023-02-05 589 5589 Michigan - Daily 4 Midday                 06 014   1.63 026   2.02  054    2.10
2023-02-06 012 0122 New York - Win 4 Midday                   NA 023   2.68 030   2.33  049    1.91
2023-02-06 059 0559 Ontario - Pick 4 Midday                   NA 019   2.22 031   2.41  047    1.83
2023-02-06 078 0778 Iowa - Pick 4 Evening                     NA 018   2.10 024   1.87  038    1.48
2023-02-06 078 0078 Tri-State (ME, NH & VT) - Pick 4 Day      NA 018   2.10 024   1.87  038    1.48
2023-02-06 078 0078 Virginia - Pick 4 Night                   NA 018   2.10 024   1.87  038    1.48
2023-02-06 179 1179 Delaware - Play 4 Day                     59 016   1.87 025   1.94  053    2.06
2023-02-06 257 2577 Oregon - Pick 4 1pm                       50 012   1.40 021   1.63  052    2.02
2023-02-06 359 3599 Pennsylvania - Pick 4 Evening             07 027   3.15 036   2.80  059    2.29
2023-02-06 456 4456 Ohio - Pick 4 Midday                      07 022   2.57 030   2.33  052    2.02
2023-02-06 457 4457 Tennessee - Cash 4 Morning                52 024   2.80 035   2.72  054    2.10
2023-02-06 489 4899 Arkansas - Cash 4 Evening                 76 019   2.22 029   2.26  054    2.10
2023-02-06 789 7889 Missouri - Pick 4 Evening                 07 021   2.45 031   2.41  061    2.37
2023-02-07 018 0018 Tri-State (ME, NH & VT) - Pick 4 Day      NA 023   2.68 034   2.64  061    2.37
2023-02-07 028 0228 Georgia - Cash 4 Midday                   NA 017   1.98 033   2.57  054    2.10
2023-02-07 059 0599 Michigan - Daily 4 Evening                NA 019   2.22 031   2.41  047    1.83
2023-02-07 135 1355 Québec - Quotidienne 4                    52 023   2.68 030   2.33  051    1.98
2023-02-07 145 1455 Virginia - Pick 4 Day                     63 014   1.63 026   2.02  049    1.91
2023-02-07 146 1466 West Virginia - Daily 4                   73 018   2.10 025   1.94  055    2.14
2023-02-07 168 1668 Florida - Pick 4 Midday                   11 018   2.10 024   1.87  042    1.63
2023-02-07 168 1668 Ontario - Pick 4 Evening                  61 018   2.10 024   1.87  042    1.63
2023-02-07 169 1669 Wisconsin - Pick 4 Evening                13 018   2.10 031   2.41  056    2.18
2023-02-07 236 2236 Delaware - Play 4 Night                   55 018   2.10 029   2.26  047    1.83
2023-02-07 236 2336 Missouri - Pick 4 Evening                 16 018   2.10 029   2.26  047    1.83
2023-02-07 245 2445 Western Canada - Pick 4                   03 013   1.52 031   2.41  052    2.02
2023-02-07 249 2499 New Jersey - Pick 4 Midday                33 021   2.45 033   2.57  060    2.33
2023-02-07 278 2278 Oregon - Pick 4 4pm                       56 028   3.27 037   2.88  057    2.22
2023-02-07 378 3788 Virginia - Pick 4 Night                   72 020   2.33 027   2.10  060    2.33
2023-02-07 389 3899 Missouri - Pick 4 Midday                  24 019   2.22 031   2.41  057    2.22
2023-02-07 489 4889 New York - Win 4 Evening                  71 019   2.22 029   2.26  054    2.10
2023-02-07 679 6779 Tennessee - Cash 4 Evening                50 017   1.98 031   2.41  046    1.79
2023-02-08 029 0029 Texas - Daily 4 Day                       NA 019   2.22 030   2.33  053    2.06
2023-02-08 146 1446 Virginia - Pick 4 Day                     64 018   2.10 025   1.94  055    2.14
2023-02-08 168 1688 Georgia - Cash 4 Midday                   52 018   2.10 024   1.87  042    1.63
2023-02-08 169 1669 New Mexico - Pick 4 Evening               36 018   2.10 031   2.41  056    2.18
2023-02-08 258 2558 Arkansas - Cash 4 Evening                 05 020   2.33 032   2.49  052    2.02
2023-02-08 278 2788 Ohio - Pick 4 Midday                      41 028   3.27 037   2.88  057    2.22
2023-02-08 279 2799 Pennsylvania - Pick 4 Day                 24 020   2.33 025   1.94  043    1.67
2023-02-08 348 3488 West Virginia - Daily 4                   03 015   1.75 026   2.02  038    1.48
2023-02-08 359 3599 Arkansas - Cash 4 Midday                  35 027   3.15 036   2.80  059    2.29
2023-02-08 378 3788 Massachusetts - Numbers Game Midday       02 020   2.33 027   2.10  060    2.33
2023-02-08 457 4557 Atlantic Canada - Lotto 4                 17 024   2.80 035   2.72  054    2.10
2023-02-08 459 4599 Idaho - Pick 4 Night                      26 017   1.98 024   1.87  056    2.18
2023-02-08 459 4459 North Carolina - Pick 4 Evening           51 017   1.98 024   1.87  056    2.18
2023-02-08 567 5567 South Carolina - Pick 4 Midday            35 019   2.22 028   2.18  043    1.67
2023-02-08 679 6679 Oregon - Pick 4 7pm                       58 017   1.98 031   2.41  046    1.79
2023-02-08 689 6899 Puerto Rico - Pega 4 Noche                77 024   2.80 034   2.64  055    2.14
2023-02-09 016 0116 New Mexico - Pick 4 Day                   NA 025   2.92 031   2.41  055    2.14
2023-02-09 017 0017 Illinois - Pick 4 Evening                 NA 018   2.10 027   2.10  046    1.79
2023-02-09 018 0118 Puerto Rico - Pega 4 Día                  NA 023   2.68 034   2.64  061    2.37
2023-02-09 019 0119 New Mexico - Pick 4 Evening               NA 018   2.10 023   1.79  054    2.10
2023-02-09 027 0277 New York - Win 4 Midday                   NA 020   2.33 029   2.26  051    1.98
2023-02-09 038 0338 Oregon - Pick 4 7pm                       NA 021   2.45 030   2.33  058    2.26
2023-02-09 059 0059 Mississippi - Cash 4 Midday               NA 019   2.22 031   2.41  047    1.83
2023-02-09 078 0078 Louisiana - Pick 4                        NA 018   2.10 024   1.87  038    1.48
2023-02-09 145 1455 Massachusetts - Numbers Game Evening      08 014   1.63 026   2.02  049    1.91
2023-02-09 146 1446 Ontario - Pick 4 Midday                   53 018   2.10 025   1.94  055    2.14
